"numcode","VMAR_Group","ccode","country","VMAR_Region","year","GPOP","CPOP","GPRO","LANG","CUSTOM","BELIEF","RELIGS1","RACE","GROUPCON","GC119","GC2","GC6B","GC7","GC10","GC11","AUTLOST","YEARWT","MAGN","PRSTAT","AUTONEND","TRANSYR","SEPX","SEPKIN","EMIG","DISPLACE","POLDIS","ECDIS","CULPO1","CULPO2","GOJPA","AUTON2","AUTGAIN","AUTPRO","LEGISREP","EXECREP","GUARREP","POLGR","ECGR","CULGR","KINSUP","KINMATSUP","KINPOLSUP","KINMILSUP","STASUP","STAMATSUP","STAPOLSUP","STAMILSUP","NSASUP","NSAMATSUP","NSAPOLSUP","NSAMILSUP","INTRACON","FACTCC1","FACTSEV1","FACTCC2","FACTSEV2","FACTCC3","FACTSEV3","INTERCON","CCGROUP1","CCGROUPSEV1","CCGROUP2","CCGROUPSEV2","CCGROUP3","CCGROUPSEV3","PROT","REB","REPGENCIV","REPNVIOL","REPVIOL"
13001,"Blacks",130,"Ecuador","Latin America and the Caribbean",2006,1085530,13917057,0.078,0,1,0,1,2,3,4,1,1,1,2,2,0.6,5,3,1,"1599","1830",3,1,0,0,3,3,0,0,2,0,-99,0,1,0,0,3,2,2,0,0,0,0,1,1,1,0,1,1,1,0,0,"",0,"","0","","0",0,"",0,"",0,"",0,0,0,2,0,0
13002,"Indigenous Highland Peoples",130,"Ecuador","Latin America and the Caribbean",2004,2673680,13368398,0.2,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,1,1,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,0,0,0,0,1,1,0,0,1,1,1,0,0,"",0,"","0","","0",1,"anti-indigenous groups",3,"",0,"",0,3,1,1,5,0
13002,"Indigenous Highland Peoples",130,"Ecuador","Latin America and the Caribbean",2005,2732464,13662318,0.2,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,1,1,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,"",0,"","0","","0",1,"anti-indigenous groups",3,"",0,"",0,4,0,1,4,0
13002,"Indigenous Highland Peoples",130,"Ecuador","Latin America and the Caribbean",2006,2783411,13917057,0.2,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,1,1,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,1,0,1,0,1,1,0,0,1,1,0,0,0,"",0,"","0","","0",1,"anti-indigenous groups",1,"",0,"",0,3,0,1,3,4
13003,"Lowland Indigenous Peoples",130,"Ecuador","Latin America and the Caribbean",2004,521368,13368398,0.039,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,-99,-99,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,0,0,0,0,1,1,0,0,1,1,0,0,1,"Tagaeri and Huaorani",1,"","0","","0",1,"Private oil workers",3,"",0,"",0,3,0,2,5,0
13003,"Lowland Indigenous Peoples",130,"Ecuador","Latin America and the Caribbean",2005,532830,13662318,0.039,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,-99,-99,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,"",0,"","0","","0",1,"Loggers",3,"Private Oil Workers",1,"",0,3,1,2,4,0
13003,"Lowland Indigenous Peoples",130,"Ecuador","Latin America and the Caribbean",2006,542765,13917057,0.039,1,1,0,1,1,3,1,0,0,0,1,2,1,5,3,3,"1534","1830",3,1,-99,-99,3,3,0,1,2,0,-99,0,1,1,0,3,2,2,1,0,1,0,1,1,0,0,1,1,0,0,1,"Tagaeri and Huaorani",1,"","0","","0",1,"Private oil workers",4,"Loggers",3,"",0,3,1,0,5,4
13501,"Blacks (Afro-Peruvians)",135,"Peru","Latin America and the Caribbean",2004,1383259,27665184,0.05,0,0,0,1,2,3,3,0,0,0,1,2,0,5,1,0,"-99","1821",0,1,0,0,3,2,0,0,2,0,-99,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-99",0,"-99","0","-99","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
13501,"Blacks (Afro-Peruvians)",135,"Peru","Latin America and the Caribbean",2005,1402555,28051105,0.05,0,0,0,1,2,3,3,0,0,0,1,2,0,5,1,0,"-99","1821",0,1,0,0,3,2,0,0,2,0,-99,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"-99",0,"-99","0","-99","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
13501,"Blacks (Afro-Peruvians)",135,"Peru","Latin America and the Caribbean",2006,1421629,28432585,0.05,0,0,0,1,2,3,3,0,0,0,1,2,0,5,1,0,"-99","1821",0,1,0,0,3,2,0,0,2,0,-99,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"-99",0,"-99","0","-99","0",0,"-99",0,"-99",0,"-99",0,0,0,0,0,0
